flight_operation_id,flightid,avbseats,status,route_id,weather_conditions,aircraftid,aircraft_name,totalseats,aircraft_status,manufacturer,departure_airport_code,departure_airport_name,departure_city,departure_country,departure_elevation,departure_is_international,arrival_airport_code,arrival_airport_name,arrival_city,arrival_country,arrival_elevation,arrival_is_international,departure_date,departure_month,departure_year,departure_time,departure_hours,departure_minutes,departure_meridiem,arrival_date,arrival_month,arrival_year,arrival_time,arrival_hours,arrival_minutes,arrival_meridiem,route_duration,distance,route_cost,booked_seats
1,119,105,Scheduled,392,Bad,75,Aircraft13,144,Active,Airbus,A163,Airport163,City163,Country163,2651,True,A183,Airport183,City183,Country183,3326,True,2024-03-31,3,2024,12:16:49.105960,12,16,PM,2024-03-31,3,2024,13:16:49.105960,13,16,PM,60,4632.0,9264,39
3,120,93,Delayed,541,Bad,77,Aircraft16,254,Active,Boeing,A251,Airport251,City251,Country251,4001,True,A122,Airport122,City122,Country122,4050,True,2024-03-14,3,2024,16:09:26.081599,16,9,PM,2024-03-14,3,2024,18:09:26.081599,18,9,PM,120,2646.407211028632,5293,161
5,121,109,Scheduled,573,Bad,91,Aircraft36,248,Active,Airbus,A303,Airport303,City303,Country303,4098,True,A388,Airport388,City388,Country388,3545,True,2024-04-09,4,2024,15:34:55.683402,15,34,PM,2024-04-09,4,2024,15:35:55.683402,15,35,PM,1,2646.407211028632,5293,139
7,122,109,Delayed,141,Bad,85,Aircraft26,165,Active,Boeing,A111,Airport111,City111,Country111,2992,True,A126,Airport126,City126,Country126,3430,False,2024-04-12,4,2024,03:49:28.806735,3,49,AM,2024-04-12,4,2024,04:05:28.806735,4,5,AM,16,1750.0,3500,56
9,123,120,Scheduled,709,Bad,95,Aircraft41,124,Active,Boeing,A7,Airport7,City7,Country7,3869,False,A212,Airport212,City212,Country212,1100,False,2024-04-07,4,2024,10:21:08.917965,10,21,AM,2024-04-07,4,2024,11:11:08.917965,11,11,AM,50,2646.407211028632,5293,4
11,124,200,Scheduled,499,Good,79,Aircraft18,207,Active,Boeing,A170,Airport170,City170,Country170,3201,True,A458,Airport458,City458,Country458,2150,True,2024-03-06,3,2024,03:27:46.298052,3,27,AM,2024-03-06,3,2024,04:27:46.298052,4,27,AM,60,2727.0,5454,7
13,125,12,Scheduled,332,Bad,91,Aircraft36,248,Active,Airbus,A339,Airport339,City339,Country339,3561,True,A144,Airport144,City144,Country144,3773,True,2024-03-03,3,2024,09:48:54.949635,9,48,AM,2024-03-03,3,2024,10:30:54.949635,10,30,AM,42,2650.0,5300,236
15,126,219,Delayed,168,Bad,92,Aircraft38,257,Active,Boeing,A151,Airport151,City151,Country151,3188,True,A259,Airport259,City259,Country259,1031,True,2024-03-25,3,2024,09:10:31.815561,9,10,AM,2024-03-25,3,2024,09:25:31.815561,9,25,AM,15,4092.0,8184,38
17,127,24,Scheduled,206,Bad,95,Aircraft41,124,Active,Boeing,A481,Airport481,City481,Country481,984,True,A92,Airport92,City92,Country92,1008,True,2024-03-18,3,2024,09:09:24.175078,9,9,AM,2024-03-18,3,2024,14:09:24.175078,14,9,PM,300,2646.407211028632,5293,100
19,128,236,Delayed,953,Good,82,Aircraft22,244,Active,Boeing,A358,Airport358,City358,Country358,4132,True,A322,Airport322,City322,Country322,4811,True,2024-03-02,3,2024,13:37:44.100294,13,37,PM,2024-03-02,3,2024,14:32:44.100294,14,32,PM,55,3297.0,6594,8
